data_criacao_processo,numero_da_licitacao,modalidade,atividade,situacao_do_processo,sigla_orgao_processo,nome_orgao_processo,objeto,tipo_de_licitacao,numero_do_edital,total_proposto,total_homologado
"2023-06-29 22:24:01",00011/IAPEN/2023," ","Pesquisar Preço","Em andamento",IAPEN,"INSTITUTO DE ADMINISTRAÇÃO PENITENCIÁRIA DO ESTADO","Contratação de Empresa Especializada para Obra de Reforma e Aprimoramento da Unidade de Enfermaria do Instituto de Administração Penitenciária no município de Macapá/AP","Menor Preco"," ",2050357.82,0
"2023-06-28 18:43:49",00049/PGE/2023," ","Pesquisar Preço","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO"," LOCAÇÃO DE VEÍCULOS AUTOMOTORES (GABGOV)","Menor Preco"," ",0,0
"2023-06-28 14:59:46",00025/SESA/2023," ","PJ. Dr. Rodrigo Pimentel","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA REALIZAÇÃO DE DIAGNÓSTICO EM ANATOMIA PATOLÓGICA E CITOPATOLOGIA COM CESSÃO TEMPORÁRIA DE EQUIPAMENTO DE INFORMÁTICA E FORNECIMENTO DE INSUMOS.","Menor Preco"," ",0,0
"2023-06-28 14:40:09",00002/SETE/2023," ","Realizar Dotação Orçamentária","Em andamento",SETE,"SECRETARIA DE ESTADO DO TRABALHO E EMPREENDEDORISMO","Aquisição de Veículo tipo Micro-ônibus Urbano","Menor Preco"," ",1033733.32,0
"2023-06-28 13:21:18",00003/SEMIN/2023," ","Criar Processo","Em andamento",SEMIN,"SECRETARIA DE ESTADO DA MINERAÇÃO ","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO
DE VEICULOS PARA ATENDER A ESTA SECRETARIA DE ESTADO DA
MINERAÇÃO","Menor Preco"," ",0,0
"2023-06-28 11:17:38",00014/SEED/2023," ","Autorizar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","AQUISIÇÃO DE CONJUNTO DE MÓVEIS ESCOLARES EM POLIPROPILENO, PARA ATENDER A DEMANDA DA SECRETARIA DE ESTADO DA EDUCAÇÃO - ADESÃO DE ATA EXTERNA
","Menor Preco"," ",1283330,0
"2023-06-28 11:15:30",00048/PGE/2023," ","Criar Processo","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE MATERIAIS MÉDICOS E CIRÚRGICOS- TUBOS","Menor Preco"," ",0,0
"2023-06-28 10:22:22",00015/SEINF/2023," ","PJ. Dr. Paulo Maia","Em andamento",SEINF,"SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","CONTRATAÇÃO DIRETA DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO E INSTALAÇÕES DE CENTRAIS E REDES DE GASES MEDICINAIS E MANUTENÇÃO PREVENTIVA E CORRETIVA DA REDE A FIM DE ATENDER AS
UNIDADES DE SAÚDE DO ESTADO.","Menor Preco"," ",0,0
"2023-06-28 10:19:49",00006/CREAP/2023," ","Criar Processo","Em andamento",CREAP,"CENTRO DE REABILITAÇÃO DO AMAPÁ","aquisição de Bolsa de Colostomia e Adjuvante de proteção e segurança","Menor Preco"," ",0,0
"2023-06-27 18:07:07",00004/PRODAP/2023," ","Concluir com êxito",Concluído,PRODAP,"CENTRO DE GESTÃO DE TECNOLOGIA DA INFORMAÇÃO","Contratação emergencial de pessoa jurídica para aquisição de SWITCH DE AGREGAÇÃO  DATACENTER/PRODAP, de acordo com as especificações contidas neste termo de referência. ","Menor Preco"," ",86244.04,86244.04
