﻿Licitacoes2021
Nº da Licitação;Modalidade;Situação;Órgão;Tipo;Objeto;Edital;Total Proposto;Total Homologado;
"449/2021";"PREGÃO";"EVENTO DE ALTERAÇÃO DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO EM SISTEMA DE REGISTRO DE PREÇOS DE MATERIAL DE ÓRTESES, PRÓTESES E MATERIAIS ESPECIAIS (OPME)   CATETER CENTRAL DE INSERÇÃO PERIFÉRICA  E OUTROS, NÃO CONTEMPLADOS NA TABELA SUS DE OPME DO MINISTÉRIO DA SAÚDE, PARA ATENDER A DEMANDA DA UNIDADE DE ENFERMAGEM, DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=4492021";1.742.660,00;982.096,78;
"448/2021";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE MEDICAMENTO DOXAZOSINA (MESILATO) COMPRIMIDO 2MG  E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=4482021";22.876.927,51;7.555.231,28;
"447/2021";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DO MEDICAMENTO RISPERIDONA COMPRIMIDO 1 MG (EXCLUSIVO NUDIME E HSVP) E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=4472021";6.759.381,66;5.573.757,51;
"446/2021";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR AGULHA ANESTÉSICA COM A FINALIDADE DE PUNÇÃO ESPINHAL E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=4462021";17.780,00;5.029,20;
"445/2021";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR SISTEMA FECHADO DE ASPIRAÇÃO TRAQUEAL E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=4452021";1.307.098,92;533.998,17;
"443/2021";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO EM SISTEMA DE REGISTRO DE PREÇOS DE MATERIAL DE ÓRTESES, PRÓTESES E MATERIAIS ESPECIAIS (OPME)   PARA ATENDER A DEMANDA DA UNIDADE DE CIRURGIA GERAL, DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=4432021";1.159.676,30;604.846,77;
"441/2021";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DO MEDICAMENTO ALOPURINOL COMPRIMIDO  E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=4412021";12.055.912,24;7.164.188,22;
"440/2021";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR, CÂNULA PARA TRAQUEOSTOMIA E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=4402021";367.047,91;118.085,53;
"439/2021";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DOS ITENS DO  LABORATÓRIO CENTRAL (LACEN) FILTRO MILLIPAK 40, 0,22UM, STERILE  E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=4392021";1.038.453,93;576.031,70;
"437/2021";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE CADEIRA FIXA REVESTIDA EM POLIPROPILENO COM BRAÇO, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=4372021";222.000,00;77.108,00;
