"Sigla","Dados da contratação","Vl Global","Inicio Vigência","Fim Vigência","Download"
"26º BPM","Contratada: MIRIAM PROD DE LIMP E PLASTICOS LTDA                                                                                                                   Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Aquisição de material de limpeza (água sanitária e desinfetante) para o 26º Batalhão de Polícia Militar do Maranhão.                                                          Processo/Ano: 0228791/2022                                                          Contrato/Ano: 2022NE000026/2022                                                          Dt. Assinatura: 17/11/2022","10.698,00","22/11/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"26º BPM","Contratada: ATTUAL COMERCIO E CONSULTORIA CONTABIL LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de empresa especializada em assessoria e consultoria contábil para prestação de serviços diversos de natureza contábil e fiscal. Conforme processo de dispensa de licitação nº 077027/2022.                                                          Processo/Ano: 0077027/2022                                                          Contrato/Ano: 001/2022                                                          Dt. Assinatura: 06/10/2022","5.000,00","06/10/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"26º BPM","Contratada: PREMIER COMÉRCIO E DISTRIBUIÇÃO LTDA                                                                                                          Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Aquisição de material de expediente (papel) para o 26º Batalhão de Polícia Militar do Maranhão.                                                          Processo/Ano: 0228265/2022                                                          Contrato/Ano: 2022NE000023/2022                                                          Dt. Assinatura: 14/11/2022","15.183,00","18/11/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"26º BPM","Contratada: A H C SILVA EIRELI                                                                                                          Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Aquisição de material de limpeza (limpa vidro, limpador multiuso e outros) para o 26º Batalhão de Polícia Militar do Maranhão.                                                          Processo/Ano: 0229689/2022                                                          Contrato/Ano: 2022NE000027/2022                                                          Dt. Assinatura: 18/11/2022","9.114,50","22/11/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: ATTUAL COMERCIO E CONSULTORIA CONTABIL LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de profissional/empresa especializada na realização e encaminhamento eletrônico das demonstrações e relatórios contábeis, dentro do prazo estipulado, ao órgão de controle interno do Poder Executivo estadual, para análise e emissão de relatório e parecer de auditoria de exercício através de Sistema eletrônico, com a devida padronização do arquivos, em conformidade com as peças exigidas pelo Tribunal de Contas do Estado, para posterior prestação de contas anual e, em conformidade com as normas estipuladas em decreto estadual que disciplina o encaminhamento de tais demonstrações e relatórios ao órgão de controle interno.                                                          Processo/Ano: 0025833/2022                                                          Contrato/Ano: 002/2022                                                          Dt. Assinatura: 21/05/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO SILVA LIMA","5.000,00","19/05/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: ATTUAL COMERCIO E CONSULTORIA CONTABIL LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de profissional ou de empresa especializada na realização e encaminhamento à Superintendência da Contadoria Geral do Poder Executivo estadual, dentro do prazo estipulado pela mesma, dos seguintes demonstrativos: a) demonstrativos sintético dos procedimentos licitatórios realizados no exercício; b) demonstrativos das subvenções, auxílios e contribuições concedidos no exercício; c) relação de reformas e ampliações em bens imóveis no exercício; d) relação dos bens imóveis adquiridos ou construídos no exercício; e) relação dos bens doados ou recebidos no exercício; f) relação dos convênios concedidos; g) relação dos bens móveis adquiridos no exercício; h) resumo do inventário dos bens móveis; i) resumo do inventário de material de consumo e de doação; j) conciliações bancárias acompanhadas dos respectivos extratos bancários e do detalhar conta emitido pelo Sistema de Gestão Fiscal vigente; k) relação dos serviços terceirizados contratados no exercício, ou, o encaminhamento do fechamento contábil mensal pelo Sistema de Gestão Fiscal vigente, conforme datas estabelecidas em Portaria de cronograma de fechamento contábil mensal.                                                           Processo/Ano: 0025833/2022                                                          Contrato/Ano: 002/2022                                                          Dt. Assinatura: 21/05/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO SILVA LIMA","5.000,00","19/05/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: ATTUAL COMERCIO E CONSULTORIA CONTABIL LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de profissional ou de empresa especializada na realização e envio da Prestação Anual de Contas, relativo ao exercício financeiro anterior, ao Tribunal de Contas do Estado via Sistema vigente, dos titulares dos órgãos do Poder Executivo do Estado, na condição de responsáveis pela utilização, arrecadação, guarda, gerenciamento e administração de dinheiros, bens e valores públicos dos seus respectivos órgãos e entidades ou, em nome deles, pela assunção de obrigações de natureza pecuniária.                                                          Processo/Ano: 0025833/2022                                                          Contrato/Ano: 002/2022                                                          Dt. Assinatura: 21/05/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO SILVA LIMA","5.000,00","19/05/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: Hallana Christina Sousa Ribeiro                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: AQUISIÇÃO DE RAÇÃO ANIMAL MULTICOMPONENTE PELETIZADA PARA EQUINOS ADULTOS E POTROS.                                                            Processo/Ano: 0055418/2022                                                          Contrato/Ano: 003/2022                                                          Dt. Assinatura: 22/06/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO SILVA LIMA","92.200,00","22/06/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: Hallana Christina Sousa Ribeiro                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: AQUISIÇÃO E FORNECIMENTO DE MATERIAIS HOSPITALARES.                                                          Processo/Ano: 0063444/2022                                                          Contrato/Ano: 08/2022                                                          Dt. Assinatura: 03/10/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO SILVA LIMA","8.900,00","03/10/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: Hallana Christina Sousa Ribeiro                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Aquisição de Alimentação para Equinos do 2º Esquadrão de  Policia Montada da PMMA: Feno do tipo ""A"" produzido com capim do gênero Cynodon para manutenção dos animais no segundo semestre do ano de 2022.                                                           Processo/Ano: 0146618/2022                                                          Contrato/Ano: 06/2022                                                          Dt. Assinatura: 26/09/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO SILVA LIMA","32.175,00","26/09/2022","31/12/2022","Detalhar                                                                                                                                                                                                                PDF"
