"Numero do Processo de Compra";"Procedimento de Contratacao";Objeto;"Situacao do Processo";"Ogao Demandante";"Valor de Referencia";"Valor Homologado";Economias
"2012008 000009/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"FOSFATO DE POTÁSSIO +ASSOCIAÇÕES";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.860,00;1.860,00;0,00
"0520009 000009/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Compra Central - Soluções
de Grandes Volumes e Outros";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";109,00;109,00;0,00
"0520009 000013/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Registro de Preços de Material Médico Hospitalar - Ataduras e Campos 2018";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";494,50;494,50;0,00
"1031018 000002/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de empresa   para promover o estudo do instituto do Compliance Público e de seus procedimentos.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";17.560,00;17.560,00;0,00
"0510037 000012/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";36.021,24;36.151,40;-130,16
"0519031 000001/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"PARA ATENDER AQUISICAO DE MATERIAL MEDICO HOSPITALAR MEDIANTE RP.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";88.130,82;88.130,82;0,00
"1021007 000014/2019";"RECADASTRAMENTO DE PROCESSOS";"Fornecimento de solução completa de videowall, compreendendo equipamentos, software, serviços de instalação e configuração, garantia, suporte técnico e treinamento para atender as necessidades do TCE.";Concluído;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";184.238,78;184.238,78;0,00
"0510037 000005/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";7.923,00;7.923,00;0,00
"0507011 000004/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTO;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";96,60;96,60;0,00
"1021007 000020/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de fragmentadora de papel";Concluído;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";1.675,00;1.670,00;5,00
"0510037 000009/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";60.659,90;60.659,90;0,00
"1691001 000003/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"COMPRA CENTRAL - MATERIAIS E EQUIPAMENTOS PARA USO MÉDICO E HOSPITALAR";Concluído;"SESP - INATIVO.";86,56;86,56;0,00
"0510037 000018/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.280,00;2.280,00;0,00
"0510037 000016/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL RADIOLÓGICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";32.695,70;32.695,70;0,00
"1261030 000012/2019";"DISPENSA DE LICITACAO - POR VALOR";"FORNECIMENTO DE LANCHE PARA ENCONTRO GERENCIAL";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";0,00;0,00;0,00
"0509025 000214/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL DE LABORATORIO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";811,00;811,00;0,00
"0503007 000198/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE CÂNULA PARA TRAQUEOSTOMIA TIPO SHILEY PRA ATENDER DEMANDA DO HIJPII.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";3.120,00;3.120,00;0,00
"1261020 000009/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Açúcar e adoçante";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";1.400,10;1.400,10;0,00
"2371200 000004/2019";"DISPENSA DE LICITACAO - POR VALOR";"Serviço Eventual de limpeza na Coordenadoria Regional do IMA de Governador Valadares.";Concluído;"INSTITUTO MINEIRO DE AGROPECUARIA";1.920,00;1.917,60;2,40
"1261020 000011/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material de escritório";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";1.833,59;1.833,59;0,00
"2012008 000910/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"DISPOSITIVO PARA PUNCAO VENOSA PERIFERICA COM ASA- CALIBRE: 19 G; AGULHA: EM ACO
INOXIDAVEL, COM DISPOSITIVO DE SEGURANCA;";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";51,00;51,00;0,00
"2311076 000249/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAIS DE ESCRITORIO

RP 99 - 2019
PLAN 31  - 2019";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";12.787,00;12.787,00;0,00
"0509025 000256/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";3.878,06;3.878,06;0,00
"0510037 000351/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";14.991,44;14.991,44;0,00
"0510037 000350/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";12.948,96;12.948,96;0,00
"0501044 000382/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS ALOPÁTICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";402.779,06;402.779,06;0,00
"2012008 000931/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";BIPERIDENO;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";117,60;117,60;0,00
"0509025 000277/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";4.088,00;4.088,00;0,00
"1261012 000003/2019";PREGAO;"Manutenção preventiva e corretiva em elevador da sede da SRE Divinópolis, incluindo peças.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";13.400,00;12.500,00;900,00
"1250165 000003/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL DE ESCRITÓRIO RP 201/2018";Concluído;"POLICIA MILITAR DE MINAS GERAIS";3.999,80;3.999,80;0,00
"1254830 000001/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Materiais de escritório.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";40,14;40,14;0,00
"1031018 000045/2019";PREGAO;"Elaboração de projetos estruturais de mesoestrutura, infraestrutura (fundação) e demais elementos estruturais necessários à implantação de uma edificação.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";666.311,94;197.997,30;468.314,64
"1261017 000002/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL DE LIMPEZA";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";200,00;200,00;0,00
"0511023 000039/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de materiais para confecção do mobiliário da farmácia do Hospital Cristiano Machado.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";2.900,02;2.755,48;144,54
"2371270 000005/2019";"DISPENSA DE LICITACAO - POR VALOR";"Para atender a demanda da CR/Oliveira  com fornecimento de agua  mineral .DEVIDO AO PREDIO SER ABASTECIDO POR AGUA IMPROPRIA PARA CONSUMO HUMANO.";Concluído;"INSTITUTO MINEIRO DE AGROPECUARIA";600,00;480,00;120,00
"0511023 000044/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE MATERIAIS ELÉTRICOS DE INFORMÁTICA PARA ATENDER DEMANDA DO HCM.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";6.420,00;5.019,60;1.400,40
"2121022 000004/2019";"DISPENSA DE LICITACAO - POR VALOR";"A aquisição de açúcar com a finalidade de repor o estoque existente no Instituto de Previdência dos Servidores Militares de Minas Gerais (IPSM) para atender as demandas de suas quatro unidades sede";Concluído;"INST.PREV.DOS SERV.MILITARES DO ESTADO M.GERAIS";1.615,33;1.603,20;12,13
"1253826 000014/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de copos descartáveis, para atender demandas apresentadas pelo Nais/8RPM.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";1.347,50;1.347,50;0,00
"0510037 000297/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";21.375,60;21.375,60;0,00
"0507011 000136/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MEDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";180,72;180,72;0,00
"0511023 000087/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE PILHAS PARA ATENDER DEMANDA DO HCM.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";183,65;183,65;0,00
"1250165 000035/2019";"DISPENSA DE LICITACAO - POR VALOR";"ATENDENDO A SOLICITAÇÃO DO 34º BPM, COMPRA DE CARTUCHO ORIGINAL DE TONER PARA IMPRESSORA .";Concluído;"POLICIA MILITAR DE MINAS GERAIS";2.711,68;1.760,00;951,68
"1251642 000025/2019";"DISPENSA DE LICITACAO - POR VALOR";"Lava jato de alta vazão com motor";Concluído;"POLICIA MILITAR DE MINAS GERAIS";2.551,90;2.186,90;365,00
"1031018 000407/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de materiais odontológicos.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";7.499,01;5.257,42;2.241,59
"0505022 000024/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE SEIS RÁDIOS COMUNICADORES DIGITAL .";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";9.594,00;0,00;9.594,00
"0516013 000339/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"RP 191/2018 - MATERIAL DE LABORATÓRIO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";8.826,60;8.826,60;0,00
"0516013 000355/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"RP 256/2018 - MATERIAL MÉDICO";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";7.132,80;7.132,80;0,00
"1255302 000097/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR  para atender os usuários do SISAU através de Registro de Preços realizado no SIRP.

UNIDADE DE PEDIDO: CAF/HPM";Concluído;"POLICIA MILITAR DE MINAS GERAIS";132.574,84;132.574,84;0,00
"2012008 000859/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"FORMULA OU ASSOCIACAO MANIPULADA";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.081,00;1.081,00;0,00
"1261007 000004/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material de escritório para atender a demanda da E.E. São Francisco de Assis (Unidade Prisional). RP 99/2019.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";3.779,74;3.779,74;0,00
"1261007 000005/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material de escritório para atender a demanda da E.E. São Francisco de Assis (Unidade Prisional), que não possui Caixa Escolar. RP 201/2018.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";404,00;404,00;0,00
"0508022 000066/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material Medico Hospitalar";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";5.966,48;6.664,41;-697,93
"2281314 000023/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"PASSAGENS AÉREAS - RP 25/2019";Concluído;"FUNDACAO DE EDUCACAO PARA TRABALHO DE MINAS GERAIS";5.830,32;5.830,32;0,00
"2012008 000868/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AMITRIPTILINA PRINCIPIO ATIVO";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";132,00;132,00;0,00
"1510005 000004/2019";"DISPENSA DE LICITACAO - POR VALOR";"Adesivo Blackout 1440 DPIs(17,29mt2), 6,31x2,74mt,6x0 cores em vinil blackout fosco 100g. Padrão Polícia Civil, contato: cpd@siip.pcivil.mg.gov.br / 33301434 -Ricardo";Concluído;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";1.640,00;1.547,00;93,00
"2012008 000864/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"SISTEMA DE TRANSFERENCIA DE FLUIDOS ESTEREIS";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";292,00;292,00;0,00
"1259973 000017/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de empresa de prestação de serviços de limpeza e tratamento de caixas d'água e reservatórios para NAIS do 12º BPM da 18ª RPM, durante o exercício de 2019.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";0,00;0,00;0,00
"1250165 000065/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL DE LIMPEZA/CONSERVAÇÃO";Concluído;"POLICIA MILITAR DE MINAS GERAIS";5.264,06;5.320,22;-56,16
"1259973 000018/2019";"DISPENSA DE LICITACAO - POR VALOR";"Contratação de empresa para fornecimento de material de construção para manutenção da Unidade Prisional da 18ª RPM.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";781,08;675,99;105,09
"2261032 000236/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"COMPRA CENTRAL - SOLUÇÕES DE GRANDE VOLUME E OUTROS - RP 241/2018";Concluído;"FUNDACAO EZEQUIEL DIAS";7.950,00;7.950,00;0,00
"1261334 000013/2019";"DISPENSA DE LICITACAO - POR VALOR";"Materiais elétricos";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";1.699,59;1.464,00;235,59
"2012008 001122/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"LEVOTIROXINA SODICA";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";240,00;240,00;0,00
"2181003 000038/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE EXTINTORES.";Concluído;"FUNDACAO CLOVIS SALGADO";5.754,07;0,00;5.754,07
"2101003 000021/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"DIETAS, FORMULAS, MÓDULOS E SUPLEMENTOS
";Concluído;"INSTITUTO ESTADUAL DE FLORESTAS-IEF";483,05;483,05;0,00
"2012015 000025/2019";"DISPENSA DE LICITACAO - POR VALOR";"Suprimentos Odontológicos";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";3.330,45;3.022,20;308,25
"1441003 000097/2019";"DISPENSA DE LICITACAO - POR VALOR";"Sacos Plásticos e Luvas de Polietileno.";Concluído;"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";1.828,50;1.379,00;449,50
"2101038 000001/2019";"DISPENSA DE LICITACAO - POR VALOR";"MATERIAL DE LIMPEZA, HIGIENE PESSOAL E UTENSILIOS DE CONSERVACAO E LIMPEZA.";Concluído;"INSTITUTO ESTADUAL DE FLORESTAS-IEF";13.210,17;12.072,00;1.138,17
"1321033 000026/2019";"DISPENSA DE LICITACAO - POR VALOR";"PAPEL A4 PARA ATENDER A DEMANDA DA GRS.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";2.792,94;2.979,00;-186,06
"1091002 000112/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Purificadores de água";Concluído;"PROCURADORIA GERAL DE JUSTICA";9.400,00;9.400,00;0,00
"3151005 000012/2019";"DISPENSA DE LICITACAO";"Contratação de agência de integração de estagiários e de jovens aprendizes.";Concluído;"EMPRESA MINEIRA DE COMUNICACAO";160.869,00;160.869,00;0,00
