Portal da Transparência do Estado de Mato Grosso do Sul
Relatório de Editais de Licitações
Data Abertura: 2019

Data da Abertura;Situação;Número do Edital;Número do Processo;Número do Contrato;Objeto;Órgão;Modalidade;Forma;Edital;Resultado
30/12/2019;Encerrada;0029/2019;29/021.067/2019;46774                         ;AQUISIÇÃO DE EMPILHADEIRA;SED;PREGÃO ELETRÔNICO;
30/12/2019;Encerrada;0005/2019;11/017.942/2019;46515                         ;AQUISIÇÃO DE DISCO RÍGIDO;FUNFAZ;PREGÃO ELETRÔNICO;
30/12/2019;Encerrada;0005/2019;11/017.942/2019;46517                         ;AQUISIÇÃO DE DISCO RÍGIDO;FUNFAZ;PREGÃO ELETRÔNICO;
23/12/2019;Encerrada;0098/2019;55/001.083/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE REAGENTES LABORATORIAIS;SAD - 2022;PREGÃO ELETRÔNICO;
23/12/2019;Encerrada;0065/2019;55/000.977/2018;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE REAGENTE PARA ANÁLISE DE RESÍDUOS EM GRÃOS;SAD - 2022;PREGÃO ELETRÔNICO;
19/12/2019;Encerrada;0109/2019;55/001.107/2019;                              ;Registro de Preço para Aquisição de Carnes e Embutidos;SAD - 2022;PREGÃO ELETRÔNICO;
19/12/2019;Encerrada;0082/2019;55/000.490/2019;                              ;REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS GRÁFICOS;SAD - 2022;PREGÃO ELETRÔNICO;
16/12/2019;Encerrada;0118/2019;55/001.045/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAL LABORATORIAL;SAD - 2022;PREGÃO ELETRÔNICO;
16/12/2019;Encerrada;0103/2019;55/001.031/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS;SAD - 2022;PREGÃO ELETRÔNICO;
16/12/2019;Encerrada;0001/2019;55/000.740/2018;                              ;REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE VEÍCULOS;SAD - 2022;PREGÃO ELETRÔNICO;
16/12/2019;Encerrada;0056/2019;55/000.470/2019;                              ;REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE VEÍCULOS;SAD - 2022;PREGÃO ELETRÔNICO;
13/12/2019;Encerrada;0072/2019;55/000.829/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE KITS ESCOLARES;SAD - 2022;PREGÃO ELETRÔNICO;
13/12/2019;Encerrada;0071/2019;55/000.771/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS LABORATORIAIS;SAD - 2022;PREGÃO ELETRÔNICO;
13/12/2019;Encerrada;0003/2019;31/950.048/2018;                              ;AQUISIÇÃO DE MATERIAIS DE CONSTRUÇÃO, FERRAMENTAS E EPI´S;FUNPES-MS;PREGÃO ELETRÔNICO;
12/12/2019;Encerrada;0104/2019;55/000.604/2019;                              ;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE ETIQUETAS AUTOADESIVAS E RIBBON DE RESINA.;SAD - 2022;PREGÃO ELETRÔNICO;
11/12/2019;Encerrada;0011/2019;71/505.562/2018;47156                         ;AQUISIÇÃO DE VIDRARIAS E REAGENTES QUÍMICOS PARA ATENDER O LABORATÓRIO DE ANÁLISES DE SOLOS - LABSOLOS;IAGRO - Inativo - 2022;PREGÃO ELETRÔNICO;
11/12/2019;Encerrada;0011/2019;71/505.562/2018;47159                         ;AQUISIÇÃO DE VIDRARIAS E REAGENTES QUÍMICOS PARA ATENDER O LABORATÓRIO DE ANÁLISES DE SOLOS - LABSOLOS;IAGRO - Inativo - 2022;PREGÃO ELETRÔNICO;
11/12/2019;Aguardando abertura;0006/2019;57/500.202/2018;48000                         ;Execução das obras de construção de bases para unidades habitacionais, com área unitária de 42,56 m², nos seguintes locais: Loteamento Cidadania 08  Residencial Harrisson de Figueiredo  Quadra 30 (21 unidades); Loteamento Cidadania 07  Jardim Ibirapuera  Quadra 07 (45 unidades) e Loteamento Cidadania 05 e 06  Residencial Esplanada  Quadra 62 e 75 (124 unidades), município de Dourados/MS, conforme especificações no Memorial Descritivo e Planilha Orçamentária.;AGEHAB;TOMADA DE PREÇOS;
