CtNumero,NU_ProcessoLicitacao,CtVigenciaInicio,CtVigenciaTermino2,Tempo,OrNome,Credor,ObNome,CtValorTotal,Textbox7,CtValorTotal1
0024/2021,19.204.000977.2021,30/12/2021,30/04/2022,4,CODATA - 19.0401,33.284.522/0006-26 - JOHNSON CONTROLS-HITACHI AR CONDICIONADO DO BRASIL LTDA,AQUISIÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS,"698.540,94",6.171 CONTRATOS,"10.208.904.525,07"
0024/2021,34.204.422021.2021,28/12/2021,28/12/2023,24,PBGÁS - 34.0401,16.528.677/0001-37 - ABF LOCADORA DE VEÍCULOS LTDA - ME,OUTROS EVENTOS,"85.352,55",6.171 CONTRATOS,"10.208.904.525,07"
0039/2021,34.204.1392021.2021,30/12/2021,30/12/2022,12,PBGÁS - 34.0401,08.726.128/0001-49 - PIRONTI ADVOGADOS E CONSULTORES ASSOCIADOS,OUTROS EVENTOS,"143.900,00",6.171 CONTRATOS,"10.208.904.525,07"
0056/2021,22.000.013040.2021,29/12/2021,27/12/2023,24,SEE - 22.0001,00.343.654/0001-18 - KONA INDÚSTRIA E COMÉRCIO LTDA.,AQUISIÇÃO DE BENS MÓVEIS,"16.443.960,00",6.171 CONTRATOS,"10.208.904.525,07"
0058/2021,,30/12/2021,30/12/2022,12,SEE - 22.0001,01.645.738/0021-12 - INDRA BRASIL SOLUCOES E SERVICOS TECNOLOGICOS LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"1.091.781,37",6.171 CONTRATOS,"10.208.904.525,07"
0061/2021,26.000.006782.2020,30/12/2021,30/12/2023,24,SEDS - 26.0001,05.514.490/0001-68 - RM SERVIÇOS DE REFRIGERAÇÃO EIRELI,SERVIÇOS,"141.600,00",6.171 CONTRATOS,"10.208.904.525,07"
0062/2021,22.000.015922.2021,30/12/2021,30/06/2022,6,SEE - 22.0001,05.423.963/0001-11 - OI S/A,SERVIÇO ESPECIALIZADO NA ÁREA DE COMUNICAÇÃO,"347.075,28",6.171 CONTRATOS,"10.208.904.525,07"
0115/2021,31.202.002386.2020,28/12/2021,21/06/2023,18,SUPLAN - 31.0201,03.693.340/0001-33 - 3M CONSTRUÇÕES LTDA,OBRAS,"4.418.564,33",6.171 CONTRATOS,"10.208.904.525,07"
0116/2021,31.202.001918.2021,29/12/2021,28/05/2022,5,SUPLAN - 31.0201,27.762.169/0001-35 - ENGENHARIA JASPE LTDA,OBRAS,"121.143,25",6.171 CONTRATOS,"10.208.904.525,07"
0117/2021,31.202.001972.2021,29/12/2021,23/12/2022,12,SUPLAN - 31.0201,25.175.320/0001-03 - L&M SERVIÇOS EIRELI - ME,OBRAS,"52.153,89",6.171 CONTRATOS,"10.208.904.525,07"
0327/2021,,30/12/2021,01/04/2024,28,CAGEPA - 31.0601,08.722.308/0001-52 - ICOL INDÚSTRIA DE CONSTRUÇÕES LTDA,OBRAS,"5.326.772,09",6.171 CONTRATOS,"10.208.904.525,07"
0333/2021,,28/12/2021,28/12/2022,12,CAGEPA - 31.0601,24.173.117/0001-35 - ENGEDUX ENGENHARIA E CONSTRUÇÃO EIRELI-EPP,OBRAS,"1.165.349,65",6.171 CONTRATOS,"10.208.904.525,07"
0335/2021,,28/12/2021,30/12/2023,24,CAGEPA - 31.0601,08.722.308/0001-52 - ICOL INDÚSTRIA DE CONSTRUÇÕES LTDA,OBRAS,"1.399.117,65",6.171 CONTRATOS,"10.208.904.525,07"
0337/2021,31.206.021278.2021,28/12/2021,27/05/2022,5,CAGEPA - 31.0601,05.694.130/0001-95 - VAZÃO HIDROPNEUMÁTICA LTDA - EPP,AQUISIÇÃO DE FERRAMENTAS,"219.372,73",6.171 CONTRATOS,"10.208.904.525,07"
0345/2021,31.206.019563.2021,28/12/2021,01/05/2024,29,CAGEPA - 31.0601,21.826.025/0001-19 - SUPORTE SERVIÇOS E COMÉRCIO LTDA ME,LOCAÇÃO DE VEÍCULO UTILITÁRIO,"2.647.209,37",6.171 CONTRATOS,"10.208.904.525,07"
0347/2021,,28/12/2021,28/12/2022,12,CAGEPA - 31.0601,08.488.802/0001-02 - RIO UNA SERVIÇOS GERAIS EIRELI,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"1.805.714,89",6.171 CONTRATOS,"10.208.904.525,07"
0348/2021,,28/12/2021,28/12/2022,12,CAGEPA - 31.0601,23.572.690/0001-59 - LAPOC ENGENHARIA E PLANEJAMENTO LTDA - EPP,SERVIÇO ESPECIALIZADO,"78.999,96",6.171 CONTRATOS,"10.208.904.525,07"
0624/2021,25.000.001077.2021,30/12/2021,30/01/2023,13,SES - 25.0001,34.783.473/0001-24 - LOUREIRO SERVIÇOS DE ENGENHARIA EIRELI-ME,SERVIÇOS,"136.045,29",6.171 CONTRATOS,"10.208.904.525,07"
0949/2021,22.204.002890.2021,30/12/2021,31/12/2021,0,UEPB - 35.0401,02.830.307/0004-98 - DAFONTE VEÍCULOS TRATORES PEÇAS E SERVIÇOS LTDA,EQUIPAMENTOS,"378.500,00",6.171 CONTRATOS,"10.208.904.525,07"
0950/2021,22.204.001300.2021,30/12/2021,31/12/2021,0,UEPB - 35.0401,26.757.376/0002-10 - DF COMÉRCIO DE MÁQUINAS E IMPLEMENTOS LTDA,EQUIPAMENTOS,"398.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0010/2021,07.000.000259.2021,23/12/2021,23/12/2023,24,SEJEL - 07.0001,23.541.902/0001-30 - SIAGOV ASSESSORIA E CONSULTORIA EM GESTÃO PÚBLICA - LTDA,SERVIÇO ESPECIALIZADO,"120.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0019/2021,19.000.029881.2020,21/12/2021,31/12/2021,0,FUNESBOM - 57.0001 ,12.845.031/0001-22 - MARIA TEREZA PEREIRA DE CARVALHO,MATERIAL DE CONSUMO,"54.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0023/2021,19.000.029404.2019,22/12/2021,22/12/2023,24,PCOOPERAR - 28.0001,09.377.459/0001-83 - KAIRÓS SEGURANÇA LTDA,VIGILÂNCIA DE BENS IMÓVEIS,"374.694,60",6.171 CONTRATOS,"10.208.904.525,07"
0036/2021,34.204.1032021.2021,21/12/2021,21/03/2022,3,PBGÁS - 34.0401,19.877.285/0002-52 - LANLINK SOLUÇÕES E COMERCIALIZAÇÃO EM INFORMÁTICA S/A,OUTROS EVENTOS,"264.593,96",6.171 CONTRATOS,"10.208.904.525,07"
0037/2021,34.204.112021.2021,27/12/2021,27/12/2023,24,PBGÁS - 34.0401,04.222.989/0001-39 - UNIDENTIS ASSISTÊNCIA ODONTOLÓGICA LTDA,OUTROS EVENTOS,"250.128,00",6.171 CONTRATOS,"10.208.904.525,07"
0043/2021,25.237.000334.2021,23/12/2021,21/06/2022,6,MPF- 25.1101,10.485.989/0001-24 - VESCIA MARIA FERNANDES DUARTE EIRELI,SERVIÇO ESPECIALIZADO NA ÁREA DE SAÚDE,"270.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0046/2021,15.000.000023.2021,23/12/2021,23/12/2022,12,PM/PB - 15.0001,23.985.753/0001-07 - INSTITUTO BRASILEIRO DE APOIO E DESENVOLVIMENTO EXECUTIVO - IBADE,SERVIÇO ESPECIALIZADO,"148.780,00",6.171 CONTRATOS,"10.208.904.525,07"
0046/2021,25.237.000247.2021,22/12/2021,20/06/2022,6,MPF- 25.1101,40.729.834/0001-57 - JD SERVIÇOS DE RECEPÇÃO E APOIO LTDA,SERVIÇO ESPECIALIZADO NA ÁREA DE SEGURANÇA,"225.000,00",6.171 CONTRATOS,"10.208.904.525,07"
0050/2021,,22/12/2021,22/03/2022,3,SEE - 22.0001,08.886.947/0001-53 - PREFEITURA MUNICIPAL DE CURRAL VELHO,DOAÇÕES,,6.171 CONTRATOS,"10.208.904.525,07"
