2022;SECRETARIA DE DESENVOLVIMENTO SOCIAL; CRIANçA E JUVENTUDE DE PERNAMBUCO;TC003/2022;2.099 SERVIÇO;;EM EXECUçãO;;10333399000186 - INSTITUTO ENSINAR DE DESENVOLVIMENTO SOCIAL-IEDES;2022/09/14 00:00:00.000;2023/03/13 00:00:00.000; 5129359.25;
2019;AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO;011/2019;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;33000118000179 - TELEMAR NORTE LESTE S/A. - EM RECUPERAÇÃO JUDICIAL;2019/10/01 00:00:00.000;2020/02/21 00:00:00.000; 10636365.41;http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2019_011_830554.pdf;
2019;AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO;017/2019;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;33000118000179 - TELEMAR NORTE LESTE S/A. - EM RECUPERAÇÃO JUDICIAL;2019/12/26 00:00:00.000;2021/11/30 00:00:00.000; 15605.22;http://web.transparencia.pe.gov.br/contratos/851/LICON_Termo_Aditivo_851_2019_017_1034335.pdf ;
2019;AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO;018/2019;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;40432544000147 - CLARO S/A.;2019/12/26 00:00:00.000;2021/11/30 00:00:00.000; 87138.76;http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2019_018_850539.pdf ;
2019;AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO;019/2019;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;3423730000193 - SMART TELECOMUNICA??ES E SERVI?OS LTDA;2019/12/26 00:00:00.000;2021/11/30 00:00:00.000; 527242.74;http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2019_019_850566.pdf ;
2019;COMPANHIA PERNAMBUCANA DE SANEAMENTO;191315/2019;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;319/2019;35683747000176 - ARQUI VÍDEO LTDA.EPP;2019/12/03 00:00:00.000;2020/07/02 00:00:00.000; 49210.0;http://web.transparencia.pe.gov.br/contratos/802/LICON_Contrato_802_2019_191315_892151.pdf;
2019;COMPANHIA PERNAMBUCANA DE SANEAMENTO;194196/2019;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;10378666000131 - SUEZ BRASIL LTDA;2019/06/13 00:00:00.000;2020/06/12 00:00:00.000; 0.01;http://web.transparencia.pe.gov.br/contratos/802/LICON_Contrato_802_2019_194196_872652.pdf;
2019;EMPRESA DE TURISMO DE PERNAMBUCO S/A;003A/2019;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;40432544000147 - CLARO S/A;2019/12/26 00:00:00.000;2021/11/30 00:00:00.000; 76121.18;http://web.transparencia.pe.gov.br/contratos/1045/LICON_Contrato_1045_2019_003A_907337.pdf;
2020;AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO;001/2020;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;33000118000179 - TELEMAR NORTE LESTE S/A.;2020/02/22 00:00:00.000;2020/08/21 00:00:00.000; 13412866.62;http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2020_001_873384.pdf;
2020;AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO;002/2020;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;7171299000196 - CENTRAL IT TECNOLOGIA DA INFORMAÇÃO LTDA;2020/04/03 00:00:00.000;2020/09/29 00:00:00.000; 1641835.38;http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2020_002_878835.pdf;
2020;AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO;005/2020;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;33000118000179 - TELEMAR NORTE LESTE S/A.;2020/07/28 00:00:00.000;2024/04/30 00:00:00.000; 98254049.63;http://web.transparencia.pe.gov.br/contratos/851/LICON_Termo_Aditivo_851_2020_005_990377.pdf ;
2020;AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO;013/2020;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;;33000118000179 - TELEMAR NORTE LESTE S/A.;2020/11/10 00:00:00.000;2021/07/27 00:00:00.000; 11213513.43;http://web.transparencia.pe.gov.br/contratos/851/LICON_Termo_Aditivo_851_2020_013_999506.pdf ;
2020;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;016/2020;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;45/2020;4203075000120 - NÚCLEO DE GESTÃO DO PORTO DIGITAL;2020/05/04 00:00:00.000;2020/08/04 00:00:00.000; 139423.55;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2020_016_891613.pdf;
2021;AGêNCIA DE DESENVOLVIMENTO ECONôMICO DE PERNAMBUCO S/A;009/2021;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;set/21;26208565000152 - DIGITAL STRATEGY TECNOLOGIA DA INFORMAÇÃO LTDA;2021/04/12 00:00:00.000;2022/04/12 00:00:00.000; 95014.0;http://web.transparencia.pe.gov.br/contratos/782/LICON_Contrato_782_2021_009_981760.pdf;
2021;COMPANHIA PERNAMBUCANA DE SANEAMENTO;213206/2021;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;28/2021;7181152000187 - LATINIFS TECNOLOGIA DA INFORMAçãO LTDA;2021/07/12 00:00:00.000;2023/07/12 00:00:00.000; 1664401.66;http://web.transparencia.pe.gov.br/contratos/802/LICON_Contrato_802_2021_213206_1011476.pdf;
2021;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE PERNAMBUCO;52/2021;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;435/2021;24144040000175 - SERTTEL SOLUCOES EM MOBILIDADE E SEGURANCA URBANA LTDA.;2021/12/17 00:00:00.000;2022/12/16 00:00:00.000; 3300000.0;http://web.transparencia.pe.gov.br/contratos/857/LICON_Contrato_857_2021_52_1087072.pdf;
2021;SECRETARIA DE CULTURA DE PERNAMBUCO;029/2021;3.136 CONTRATO DE GESTÃO EM SERVIÇOS CIENTÍFICOS E TECNOLÓGICOS;;EM EXECUçãO;22/2021;12063265000118 - HACKLAB- SERVIÇOS DE TECNOLOGIA EM INFORMÁTICA LTDA- EPP;2021/10/11 00:00:00.000;2022/10/10 00:00:00.000; 298500.04;http://web.transparencia.pe.gov.br/contratos/1248/LICON_Contrato_1248_2021_029_1086426.pdf;
