Data Criacao;Num Contrato;Orgao;Resumo Objeto;Num Processo Tce;Num Processo Adm;Tipo Instrumento;Tipo Procedimento;Num Procedimento;Valor Contratado;Status;Contratada;Dt Vig Atual Inicio;Dt Vig Atual Fim;Data Assinatura;Tipo Contrato
04/03/2022;out/22;SETRANS - SECRETARIA DOS TRANSPORTES;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DE ENGENHARIA PARA EXECUÇÃO DOS SERVIÇOS DE PAVIMENTAÇÃO ASFÁLT...;CW-003024/22;3191001137/21-22;TERMO DE CONTRATO;CONCORRÊNCIA Nº 10/2021;-;R$ 9.490.989,27;Em vigência;09020353000128 - PAC ENGENHARIA LTDA;21/02/2022;31/12/2022;21/02/2022;Obra e serviço de engenharia
04/03/2022;nov/22;SETRANS - SECRETARIA DOS TRANSPORTES;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA OBJETIVANDO A EXECUÇÃO DOS SERVIÇOS DE DE RESTAURAÇÃO RODOVIÁRI...;CW-003018/22;3191000884/20-26;TERMO DE CONTRATO;CONCORRÊNCIA Nº 09/2021;-;R$ 6.220.138,94;Em vigência;09020353000128 - PAC ENGENHARIA LTDA;23/02/2022;31/12/2022;23/02/2022;Obra e serviço de engenharia
04/03/2022;69/2022;SECRETARIA DE ESTADO DA EDUCACAO - SEDUC;LOTE 01 - REFORMA DA 21ª GERÊNCIA REGIONAL DE EDUCAÇÃO - GRE SUDESTE, LOCALIZADA NO MUNICÍPIO DE TER...;CW-003017/22;00011.016312/2020-68;TERMO DE CONTRATO;LICITAÇÃO RDC Nº 085/2021;-;R$ 1.042.904,00;Em vigência;07561615000136 - CONSTRUTORA BARRETO LTDA;25/02/2022;31/12/2022;25/02/2022;Obra e serviço de engenharia
04/03/2022;015/2022;ATI - AGENCIA DE TECNOLOGIA DA INFORMACAO DO PIAUI;O OBJETO DO PRESENTE CONTRATO É A CONTRATAÇÃO EMERGENCIAL DE EMPRESA ESPECIALIZADA PARA LOCAÇÃO DE 0...;CW-003005/22;00117.001020/2021-23;TERMO DE CONTRATO;DISPENSA;00/2022;R$ 90.000,00;Em vigência;10846808000148 - L P TOTAL SERVIÇO MECÂNICO EIRELI;25/02/2022;24/08/2022;25/02/2022;Outros
03/03/2022;015/2022;DER-PI - DEPARTAMENTO DE ESTRADAS DE RODAGEM DO PI;EXECUÇÃO DAS OBRAS DE MELHORAMENTO DA IMPLANTAÇÃO E PAVIMENTAÇÃO EM CBUQ DA ESTRADA VALE DO TUCUNARÉ...;CW-002943/22;00016.001019/2021-37;TERMO DE CONTRATO;TOMADA DE PREÇO Nº 012/2021;-;R$ 680.443,90;Em vigência;63341770000118 - TRATORCENTER PEÇAS E SERVIÇOS LTDA;24/02/2022;24/02/2025;24/02/2022;Obra e serviço de engenharia
03/03/2022;002/2022;CMTP - COMPANHIA METROPOLITANA DE TRANSPORTE PUBLICO;CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE MATERIAL DE LIMPEZA PARA CMTP, CONFORME CONDIÇÕES, QUANT...;CW-002934/22;029/2022;TERMO DE CONTRATO;DISPENSA;mar/22;R$ 27.748,20;Em vigência;13894073000116 - MARIA DO SOCORRO VAZ BORGES 39782980315;18/02/2022;16/08/2022;18/02/2022;Compra - Material de Consumo
03/03/2022;005/2022;SECRETARIA DO MEIO AMBIENTE E RECURSOS HIDRICOS;O OBJETO DO PRESENTE TERMO DE CONTRATO É A AQUISIÇÃO DE AÇÚCAR, CAFÉ E CHÁ, CONFORME CONDIÇÕES, QUAN...;CW-002919/22;AA.130.1.006143/21-01;TERMO DE CONTRATO;DISPENSA;005/2021;R$ 14.049,00;Em vigência;20238149000110 - MAXX DISTRIBUIDORA DE ALIMENTOS LTDA;17/02/2022;17/02/2023;17/02/2022;Compra - Material de Consumo
03/03/2022;048/2022;SECRETARIA DA AGRICULTURA FAMILIAR;CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA CONSTRUÇÃO DE 15 BUEIROS TUBULARES DE CONCRETO D=1,00M, ZO...;CW-002917/22;1581/2021;TERMO DE CONTRATO;CONVITE Nº 006/2021;-;R$ 253.785,90;Em vigência;10525283000149 - CONSTRUIR CONSTRUÇÃO, LOCAÇÃO DE EQUIPAMENTOS E ADMINISTRAÇÃO DE OBRAS EIRELI;23/02/2022;23/02/2023;23/02/2022;Obra e serviço de engenharia
02/03/2022;016/2022;SECRETARIA DE TURISMO;RECUPERAÇÃO DE ESTRADA VICINAL NO MUNICIPIO DE BENEDITINOS - PI...;CW-002887/22;AA.153.1.0000204/20-4;TERMO DE CONTRATO;CONCORRÊNCIA Nº 07/2021;-;R$ 181.909,35;Aguarda informações;22168030000144 - S.DO VALE CARVALHO EIRELLI-EPP;23/02/2022;31/12/2022;22/02/2022;Obra e serviço de engenharia
25/02/2022;001/2022;CMTP - COMPANHIA METROPOLITANA DE TRANSPORTE PUBLICO;REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE COMBUSTÍVEIS, LUBRIFICANTES, GRAXAS...;CW-002824/22;370/2022;TERMO DE CONTRATO;PREGÃO Nº 002.1/2021;-;R$ 430.600,37;Em vigência;34274233000102 - PETROBRÁS DISTRIBUIDORA S.A.;01/02/2022;31/12/2022;01/02/2022;Compra - Material de Consumo
